City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Santa Isabel,BR,2021-02-04 00:04:50,-23.3156,-46.2214,77.0,83,75,5.75
134,Borovskoy,KZ,2021-02-04 00:04:50,53.8,64.15,10.71,93,97,5.08
135,Sao Joao Da Barra,BR,2021-02-04 00:04:50,-21.6403,-41.0511,77.56,85,1,15.77
136,Flinders,AU,2021-02-04 00:04:50,-34.5833,150.8552,79.0,70,29,3.0
137,Yenagoa,NG,2021-02-04 00:04:50,4.9247,6.2642,78.73,87,0,4.7
138,Turukhansk,RU,2021-02-04 00:04:52,65.8167,87.9833,-5.58,92,100,3.83
139,Hervey Bay,AU,2021-02-04 00:04:52,-25.2986,152.8535,84.0,63,13,5.01
140,Tasiilaq,GL,2021-02-04 00:04:52,65.6145,-37.6368,26.02,96,100,21.99
141,Cidreira,BR,2021-02-04 00:04:52,-30.1811,-50.2056,76.89,94,100,10.13
142,Megion,RU,2021-02-04 00:04:52,61.0296,76.1136,10.4,92,40,6.71
143,Yar-Sale,RU,2021-02-04 00:04:52,66.8333,70.8333,-11.0,90,82,9.64
144,Hovd,MN,2021-02-04 00:04:52,48.0056,91.6419,13.39,84,98,4.25
145,Hoganas,SE,2021-02-04 00:04:52,56.1997,12.558,25.0,80,75,14.97
146,Moose Factory,CA,2021-02-04 00:04:52,51.2585,-80.6094,12.2,92,90,3.44
147,Atar,MR,2021-02-04 00:00:24,20.5169,-13.0499,67.62,23,60,2.37
148,Moindou,NC,2021-02-04 00:04:53,-21.6924,165.677,82.18,76,49,14.83
149,Duluth,US,2021-02-04 00:01:14,46.7833,-92.1066,30.2,86,1,9.22
150,Iqaluit,CA,2021-02-04 00:04:53,63.7506,-68.5145,-5.8,77,90,3.44
151,Lompoc,US,2021-02-04 00:01:47,34.6391,-120.4579,57.2,62,1,14.97
152,Palana,RU,2021-02-04 00:04:53,59.1167,159.9667,21.52,94,23,21.09
153,Tilichiki,RU,2021-02-04 00:04:53,60.4667,166.1,20.61,97,99,14.81
154,Vardo,NO,2021-02-04 00:04:54,70.3705,31.1107,26.6,86,75,14.97
155,Muncar,ID,2021-02-04 00:04:54,-8.4333,114.3333,77.25,86,100,2.3
156,Yumen,CN,2021-02-04 00:04:54,40.2833,97.2,24.55,69,9,18.75
157,Taoudenni,ML,2021-02-04 00:04:54,22.6783,-3.9836,70.95,21,18,10.33
158,Port Lincoln,AU,2021-02-04 00:04:54,-34.7333,135.8667,60.64,87,100,10.51
159,Ribeira Grande,PT,2021-02-04 00:04:55,38.5167,-28.7,55.9,63,73,29.35
160,Jepara,ID,2021-02-04 00:04:55,-5.1695,105.7044,74.52,93,100,7.9
161,Aklavik,CA,2021-02-04 00:04:55,68.2191,-135.0107,-36.4,67,1,3.44
162,Roma,US,2021-02-04 00:04:56,43.2128,-75.4557,26.6,68,90,3.44
163,Gewane,ET,2021-02-04 00:04:57,10.1664,40.6453,63.46,42,0,3.18
164,Harbour Breton,CA,2021-02-04 00:04:57,47.4833,-55.7983,41.92,96,95,6.87
165,Machali,CL,2021-02-04 00:04:57,-34.1833,-70.6667,73.99,34,0,3.0
166,Nome,US,2021-02-04 00:04:19,64.5011,-165.4064,-5.01,65,1,6.91
167,Skorodnoye,RU,2021-02-04 00:04:58,51.071,37.2276,35.6,100,90,11.18
168,Faanui,PF,2021-02-04 00:04:58,-16.4833,-151.75,81.61,70,13,9.13
169,Sao Filipe,CV,2021-02-04 00:04:58,14.8961,-24.4956,72.09,77,80,10.85
170,Soe,ID,2021-02-04 00:04:58,-9.8607,124.284,66.9,100,100,5.06
171,Pangai,TO,2021-02-04 00:04:58,-19.8,-174.35,84.2,84,75,2.3
172,Faya,SA,2021-02-04 00:04:58,18.3851,42.4509,57.2,50,0,4.12
173,Kavieng,PG,2021-02-04 00:04:59,-2.5744,150.7967,84.85,65,55,5.26
174,Saint-Philippe,RE,2021-02-04 00:00:59,-21.3585,55.7679,77.0,73,0,5.75
175,Brest,BY,2021-02-04 00:04:59,52.1,23.7,34.38,99,100,6.58
176,Talnakh,RU,2021-02-04 00:04:59,69.4865,88.3972,-16.8,87,100,1.86
177,Isangel,VU,2021-02-04 00:04:59,-19.55,169.2667,86.0,70,40,9.22
178,Vestmannaeyjar,IS,2021-02-04 00:05:00,63.4427,-20.2734,37.94,77,91,33.98
179,Gberia Fotombu,SL,2021-02-04 00:05:00,9.8833,-11.1667,71.78,27,25,2.62
180,Hirara,JP,2021-02-04 00:05:01,24.8,125.2833,60.8,82,20,5.75
181,Tuktoyaktuk,CA,2021-02-04 00:05:01,69.4541,-133.0374,-40.0,67,20,4.61
182,Sijunjung,ID,2021-02-04 00:05:02,-0.6876,100.9537,73.06,92,99,0.18
183,Srednekolymsk,RU,2021-02-04 00:05:02,67.45,153.6833,-23.15,86,42,2.84
184,Lieto,FI,2021-02-04 00:05:02,60.5103,22.4618,1.4,85,0,4.61
185,Maues,BR,2021-02-04 00:05:03,-3.3836,-57.7186,79.16,84,77,0.16
186,Santa Marta De Tormes,ES,2021-02-04 00:05:03,40.9506,-5.6272,48.0,93,0,9.22
187,Malanje,AO,2021-02-04 00:05:03,-9.5402,16.341,60.33,96,73,1.21
188,Marsh Harbour,BS,2021-02-04 00:05:03,26.5412,-77.0636,62.73,56,0,18.88
