City_ID,City,Country,Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Valdobbiadene,IT,mist,45.8993,11.9946,53.6,87,75,4.61
144,Yellowknife,CA,clear sky,62.456,-114.3525,-45.99,65,1,4.61
145,Mapimi,MX,broken clouds,25.8167,-103.85,55.4,16,75,6.17
146,Isangel,VU,few clouds,-19.55,169.2667,77.0,94,20,3.78
147,East London,ZA,few clouds,-33.0153,27.9116,73.4,83,20,6.91
148,Vostok,RU,overcast clouds,46.4856,135.8833,-12.77,90,100,2.91
149,Huarmey,PE,broken clouds,-10.0681,-78.1522,76.71,61,78,9.73
150,Two Rivers,US,clear sky,44.1539,-87.5693,-7.01,59,1,12.66
151,Rock Sound,BS,clear sky,24.9,-76.2,75.72,87,0,15.57
152,Torbay,CA,scattered clouds,47.6666,-52.7314,34.0,59,40,33.38
153,Januaria,BR,light rain,-15.4833,-44.3667,75.31,88,99,4.65
154,Lima,PE,broken clouds,-12.0432,-77.0282,75.99,73,75,9.22
155,Kasane,BW,light rain,-17.8167,25.15,80.6,65,0,4.61
156,Ancud,CL,clear sky,-41.8697,-73.8203,78.8,36,0,4.61
157,Guerrero Negro,MX,clear sky,27.9769,-114.0611,68.04,29,0,3.69
158,Hobyo,SO,clear sky,5.3505,48.5268,78.64,73,0,18.43
159,La Paz,BO,scattered clouds,-16.5,-68.15,57.2,47,40,4.61
160,Souillac,MU,few clouds,-20.5167,57.5167,80.6,78,20,10.36
161,Padang,ID,few clouds,-0.9492,100.3543,82.4,74,20,6.91
162,Preobrazheniye,RU,clear sky,42.9019,133.9064,6.42,85,0,10.04
163,Talnakh,RU,clear sky,69.4865,88.3972,-23.26,72,0,3.44
164,Burnie,AU,light rain,-41.0667,145.9167,57.0,67,79,5.66
165,Pangnirtung,CA,clear sky,66.1451,-65.7125,28.27,80,0,15.14
166,Rapar,IN,clear sky,23.5667,70.6333,68.2,30,0,6.85
167,Stuttgart,DE,moderate rain,48.7823,9.177,43.0,87,75,8.05
168,Santiago De Puringla,HN,clear sky,14.3585,-87.9032,75.2,50,1,5.66
169,Beruwala,LK,broken clouds,6.4788,79.9828,76.87,88,69,5.3
170,Sucua,EC,light rain,-2.4667,-78.1667,78.8,57,40,5.75
171,Husavik,IS,broken clouds,66.0449,-17.3389,33.8,69,75,4.61
172,Chimbote,PE,broken clouds,-9.0853,-78.5783,77.94,58,64,10.33
173,Saint George,US,clear sky,37.1041,-113.5841,33.8,51,1,0.45
174,Ketou,BJ,overcast clouds,7.3633,2.5998,99.68,23,85,3.36
175,Ilulissat,GL,clear sky,69.2167,-51.1,26.6,33,0,11.5
176,Broome,US,light snow,42.2506,-75.833,34.0,93,90,12.66
177,Matcha,RU,overcast clouds,54.6335,42.3501,2.12,92,100,12.59
178,Iqaluit,CA,snow,63.7506,-68.5145,24.8,68,75,21.85
179,Geraldton,AU,scattered clouds,-28.7667,114.6,69.8,78,40,10.36
180,Kiama,AU,overcast clouds,-34.6833,150.8667,68.0,81,92,1.01
181,Bonfim,BR,scattered clouds,3.0833,-59.95,84.2,65,40,13.8
182,Cape Town,ZA,clear sky,-33.9258,18.4232,71.6,53,0,25.32
183,Ankara,TR,clear sky,39.9199,32.8543,53.6,57,0,3.44
184,Aksarka,RU,light snow,66.5606,67.7975,-16.33,88,100,28.97
185,Klyuchi,RU,broken clouds,52.2667,79.1667,17.92,93,75,13.27
